Textbox70,Textbox69
Location:,12 - CD-CHARLESTON

MenuItemName,Cost1,AvgPrice1,Profit1,Textbox35,TargetMargin1,Textbox43,PriceNeeded1,Location,Cost,AvgPrice,Profit,ProfitPercent,TargetMargin,Variance,PriceNeeded
CD-CHARLESTON - MIXED CHZ 2OZ,0.51,0.50,-0.01,-2.3 %,0.0 %,-2.3 %,0.51,CD-CHARLESTON,0.51,0.50,-0.01,-2.3 %,0.0 %,-2.3 %,0.51
CD-CHARLESTON - CAESAR,0.75,0.00,-0.75,-75.1 %,0.0 %,-75.1 %,0.75,CD-CHARLESTON,0.75,0.00,-0.75,-75.1 %,0.0 %,-75.1 %,0.75
CD-CHARLESTON - 1000,0.16,0.00,-0.16,-15.9 %,0.0 %,-15.9 %,0.16,CD-CHARLESTON,0.16,0.00,-0.16,-15.9 %,0.0 %,-15.9 %,0.16
CD-CHARLESTON - SHRIMP SAN FRANCISCO,3.11,17.95,14.84,82.7 %,0.0 %,82.7 %,3.11,CD-CHARLESTON,3.11,17.95,14.84,82.7 %,0.0 %,82.7 %,3.11
CD-CHARLESTON - SEAFOOD PLATTER,5.73,23.95,18.22,76.1 %,0.0 %,76.1 %,5.73,CD-CHARLESTON,5.73,23.95,18.22,76.1 %,0.0 %,76.1 %,5.73
CD-CHARLESTON - H HOT,0.17,0.00,-0.17,-17.2 %,0.0 %,-17.2 %,0.17,CD-CHARLESTON,0.17,0.00,-0.17,-17.2 %,0.0 %,-17.2 %,0.17
CD-CHARLESTON - BOWL OF ICE CREAM,0.52,2.95,2.43,82.5 %,0.0 %,82.5 %,0.52,CD-CHARLESTON,0.52,2.95,2.43,82.5 %,0.0 %,82.5 %,0.52
CD-CHARLESTON - PINK LEMONADE,0.79,3.00,2.21,73.7 %,0.0 %,73.7 %,0.79,CD-CHARLESTON,0.79,3.00,2.21,73.7 %,0.0 %,73.7 %,0.79
CD-CHARLESTON - GR BEANS,0.59,0.00,-0.59,-58.7 %,0.0 %,-58.7 %,0.59,CD-CHARLESTON,0.59,0.00,-0.59,-58.7 %,0.0 %,-58.7 %,0.59
CD-CHARLESTON - SMALL CAESAR SALAD,5.37,1.53,-3.84,-250.7 %,0.0 %,-250.7 %,5.37,CD-CHARLESTON,5.37,1.53,-3.84,-250.7 %,0.0 %,-250.7 %,5.37
CD-CHARLESTON - ADD SALMON,2.23,8.95,6.72,75.0 %,0.0 %,75.0 %,2.23,CD-CHARLESTON,2.23,8.95,6.72,75.0 %,0.0 %,75.0 %,2.23
CD-CHARLESTON - KID FRIED SHRIMP MEAL,1.63,5.95,4.32,72.6 %,0.0 %,72.6 %,1.63,CD-CHARLESTON,1.63,5.95,4.32,72.6 %,0.0 %,72.6 %,1.63
CD-CHARLESTON - SWEET TEA,0.09,3.00,2.91,96.9 %,0.0 %,96.9 %,0.09,CD-CHARLESTON,0.09,3.00,2.91,96.9 %,0.0 %,96.9 %,0.09
CD-CHARLESTON - XTR H COLD-TO GO,0.14,0.50,0.36,72.9 %,0.0 %,72.9 %,0.14,CD-CHARLESTON,0.14,0.50,0.36,72.9 %,0.0 %,72.9 %,0.14
CD-CHARLESTON - CHARLESTON SEAFOOD PASTA,4.08,17.95,13.87,77.3 %,0.0 %,77.3 %,4.08,CD-CHARLESTON,4.08,17.95,13.87,77.3 %,0.0 %,77.3 %,4.08
CD-CHARLESTON - SHRIMP & FLOUNDER COMBO,3.01,17.95,14.94,83.2 %,70.0 %,13.2 %,10.04,CD-CHARLESTON,3.01,17.95,14.94,83.2 %,70.0 %,13.2 %,10.04
CD-CHARLESTON - MIX CHZ 4OZ,1.02,1.25,0.23,18.1 %,0.0 %,18.1 %,1.02,CD-CHARLESTON,1.02,1.25,0.23,18.1 %,0.0 %,18.1 %,1.02
CD-CHARLESTON - FRIED OYSTER CAESAR SALAD,6.83,14.95,8.12,54.3 %,0.0 %,54.3 %,6.83,CD-CHARLESTON,6.83,14.95,8.12,54.3 %,0.0 %,54.3 %,6.83
CD-CHARLESTON - COCKTAIL,0.12,0.00,-0.12,-12.5 %,0.0 %,-12.5 %,0.12,CD-CHARLESTON,0.12,0.00,-0.12,-12.5 %,0.0 %,-12.5 %,0.12
CD-CHARLESTON - CHICKEN SANDWHICH,2.25,10.95,8.70,79.4 %,0.0 %,79.4 %,2.25,CD-CHARLESTON,2.25,10.95,8.70,79.4 %,0.0 %,79.4 %,2.25
CD-CHARLESTON - & ORANGE JUICE,0.33,0.00,-0.33,-33.0 %,0.0 %,-33.0 %,0.33,CD-CHARLESTON,0.33,0.00,-0.33,-33.0 %,0.0 %,-33.0 %,0.33
CD-CHARLESTON - E-P&E 1LB,5.43,16.95,11.52,67.9 %,0.0 %,67.9 %,5.43,CD-CHARLESTON,5.43,16.95,11.52,67.9 %,0.0 %,67.9 %,5.43
CD-CHARLESTON - & PINEAPPLE JUICE,0.20,0.00,-0.20,-19.6 %,0.0 %,-19.6 %,0.20,CD-CHARLESTON,0.20,0.00,-0.20,-19.6 %,0.0 %,-19.6 %,0.20
CD-CHARLESTON - SPRITE,0.79,3.00,2.21,73.7 %,0.0 %,73.7 %,0.79,CD-CHARLESTON,0.79,3.00,2.21,73.7 %,0.0 %,73.7 %,0.79
CD-CHARLESTON - PORK TACOS,3.75,11.95,8.20,68.6 %,0.0 %,68.6 %,3.75,CD-CHARLESTON,3.75,11.95,8.20,68.6 %,0.0 %,68.6 %,3.75
CD-CHARLESTON - SUB SHE CRAB $1,2.11,1.00,-1.11,-110.6 %,0.0 %,-110.6 %,2.11,CD-CHARLESTON,2.11,1.00,-1.11,-110.6 %,0.0 %,-110.6 %,2.11
CD-CHARLESTON - X-MAYO,0.10,0.00,-0.10,-10.3 %,0.0 %,-10.3 %,0.10,CD-CHARLESTON,0.10,0.00,-0.10,-10.3 %,0.0 %,-10.3 %,0.10
CD-CHARLESTON - FEATURE FISH 2,8.43,25.55,17.12,67.0 %,0.0 %,67.0 %,8.43,CD-CHARLESTON,8.43,25.55,17.12,67.0 %,0.0 %,67.0 %,8.43
CD-CHARLESTON - APPLE COBBLER,2.89,7.73,4.84,62.6 %,0.0 %,62.6 %,2.89,CD-CHARLESTON,2.89,7.73,4.84,62.6 %,0.0 %,62.6 %,2.89
CD-CHARLESTON - AMERICAN BURGER,2.35,10.95,8.60,78.6 %,0.0 %,78.6 %,2.35,CD-CHARLESTON,2.35,10.95,8.60,78.6 %,0.0 %,78.6 %,2.35
CD-CHARLESTON - KID LEMONADE,0.79,0.00,-0.79,-79.0 %,0.0 %,-79.0 %,0.79,CD-CHARLESTON,0.79,0.00,-0.79,-79.0 %,0.0 %,-79.0 %,0.79
CD-CHARLESTON - KID UNSWT TEA,0.03,0.00,-0.03,-2.5 %,0.0 %,-2.5 %,0.03,CD-CHARLESTON,0.03,0.00,-0.03,-2.5 %,0.0 %,-2.5 %,0.03
CD-CHARLESTON - KID GRILLED CHEESE MEAL,1.53,4.95,3.42,69.1 %,0.0 %,69.1 %,1.53,CD-CHARLESTON,1.53,4.95,3.42,69.1 %,0.0 %,69.1 %,1.53
CD-CHARLESTON - SHRIMP CAESAR SALAD,2.29,13.95,11.66,83.6 %,0.0 %,83.6 %,2.29,CD-CHARLESTON,2.29,13.95,11.66,83.6 %,0.0 %,83.6 %,2.29
CD-CHARLESTON - HSE,0.15,0.00,-0.15,-15.4 %,0.0 %,-15.4 %,0.15,CD-CHARLESTON,0.15,0.00,-0.15,-15.4 %,0.0 %,-15.4 %,0.15
