Textbox72
8/5/2020 - 8/9/2020

Textbox3,Textbox27,TransferDate,Qty,ToLocationName,Cost,Total,dm_Quantity,Cat1,Cat2,Cat3,Textbox17,Textbox20
Item,CD-CHARLESTON,CD-CHARLESTON - *SAL/NO DRESS*,249.00,4.3 %,3.95,983.55,1.7 %,Food,Salad,None,"5,754.00","56,909.20"
Item,CD-CHARLESTON,CD-CHARLESTON - 1/2 LB RED CRAB CLAWS,25.00,0.4 %,11.39,284.70,0.5 %,Food,Appetizer,None,"5,754.00","56,909.20"
Item,CD-CHARLESTON,CD-CHARLESTON - AMERICAN BURGER,77.00,1.3 %,10.95,843.15,1.5 %,Food,Sandwich,None,"5,754.00","56,909.20"
Item,CD-CHARLESTON,CD-CHARLESTON - APPLE COBBLER,35.00,0.6 %,8.18,286.20,0.5 %,Food,Dessert,None,"5,754.00","56,909.20"
Item,CD-CHARLESTON,CD-CHARLESTON - BASKET OF CROISSANTS,487.00,8.5 %,6.04,"2,939.30",5.2 %,Food,Appetizer,None,"5,754.00","56,909.20"
Item,CD-CHARLESTON,CD-CHARLESTON - BBQ CHICKEN,32.00,0.6 %,15.95,510.40,0.9 %,Food,Entree,None,"5,754.00","56,909.20"
Item,CD-CHARLESTON,CD-CHARLESTON - BBQ CHICKEN NACHOS,58.00,1.0 %,12.57,728.95,1.3 %,Food,Appetizer,None,"5,754.00","56,909.20"
Item,CD-CHARLESTON,CD-CHARLESTON - BBQ RIBS-1 RACK,60.00,1.0 %,19.95,"1,197.00",2.1 %,Food,Entree,None,"5,754.00","56,909.20"
Item,CD-CHARLESTON,CD-CHARLESTON - BBQ RIBS-2 RACKS,38.00,0.7 %,25.95,986.10,1.7 %,Food,Entree,None,"5,754.00","56,909.20"
Item,CD-CHARLESTON,CD-CHARLESTON - BEER CAN CHICKEN,4.00,0.1 %,18.95,75.80,0.1 %,Food,Entree,None,"5,754.00","56,909.20"
Item,CD-CHARLESTON,CD-CHARLESTON - BLACKENED CHICKEN PASTA,152.00,2.6 %,16.95,"2,576.40",4.5 %,Food,Entree,None,"5,754.00","56,909.20"
Item,CD-CHARLESTON,CD-CHARLESTON - BOWL OF ICE CREAM,3.00,0.1 %,2.95,8.85,0.0 %,Food,Dessert,None,"5,754.00","56,909.20"
Item,CD-CHARLESTON,CD-CHARLESTON - BREAD PUDDING W RUM SAUCE,17.00,0.3 %,7.95,135.15,0.2 %,Food,Dessert,None,"5,754.00","56,909.20"
Item,CD-CHARLESTON,CD-CHARLESTON - BROCCOLINI,1.00,0.0 %,0.00,0.00,0.0 %,Food,Side,None,"5,754.00","56,909.20"
Item,CD-CHARLESTON,CD-CHARLESTON - BROILED CHICKEN CAESAR SA,17.00,0.3 %,12.95,220.15,0.4 %,Food,Salad,None,"5,754.00","56,909.20"
Item,CD-CHARLESTON,CD-CHARLESTON - BROILED CHICKEN SALAD,10.00,0.2 %,12.95,129.50,0.2 %,Food,Salad,None,"5,754.00","56,909.20"
Item,CD-CHARLESTON,CD-CHARLESTON - BROILED SALMON SALAD,41.00,0.7 %,14.95,612.95,1.1 %,Food,Salad,None,"5,754.00","56,909.20"
Item,CD-CHARLESTON,CD-CHARLESTON - BROWNIE,38.00,0.7 %,7.95,302.10,0.5 %,Food,Dessert,None,"5,754.00","56,909.20"
Item,CD-CHARLESTON,CD-CHARLESTON - CAESAR,6.00,0.1 %,0.00,0.00,0.0 %,Food,Salad,None,"5,754.00","56,909.20"
